lat	lon	title	description	icon	iconSize	iconOffset
59.8866293	29.832257	пл. Университет	ж.д. платформа <a target="_blank" href="http://rasp.yandex.ru/station/9603770/">Университет</a>	map_marker.png	16,16	-8,-8
59.8803211	29.8290230	Матмех	главный вход на <a  target="_blank" href="http://math.spbu.ru/">Матмех</a>	map_marker.png	16,16	-8,-8
59.8789178	29.8313536	Матмех	студенческий вход на <a  target="_blank" href="http://math.spbu.ru/">Матмех</a>	map_marker.png	16,16	-8,-8
59.8813648	29.8269309	конечная остановка "Университет"	конечная остановка "Университет"	map_marker.png	16,16	-8,-8
59.8767209	29.8305625	остановка "Ректорский проезд"	остановка "Ректорский проезд"	map_marker.png	16,16	-8,-8
59.8799702	29.8287000	Кафедра системного программирования	<a  target="_blank" href="http://se.math.spbu.ru/">Кафедра системного программирования</a><br/>Вычислительный центр, первый этаж.	map_star.png	16,16	-8,-8
59.8523542	30.2881932	пл. Ленинский проспект	ж.д. платформа <a target="_blank" href="http://rasp.yandex.ru/search/?toName=%D0%A3%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82&fromName=%D0%9B%D0%B5%D0%BD%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9+%D0%9F%D1%80%D0%BE%D1%81%D0%BF%D0%B5%D0%BA%D1%82">Ленинский проспект</a>	map_marker.png	16,16	-8,-8
59.9063953	30.2988351	Балтийский вокзал	<a target="_blank" href="http://rasp.yandex.ru/search/?toName=%D0%A3%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82&fromName=%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3&when=&toId=s9603770&fromId=">Балтийский ж.д. вокзал</a>	map_marker.png	16,16	-8,-8
59.8512349	30.0622337	Остановка трамвая №36 "Стрельна"	Остановка <a target="_blank" href="http://www.electrotrans.spb.ru/116/page8.html">трамвая №36</a> "Стрельна"<br/>Историческая линия <a target="_blank" href="http://ru.wikipedia.org/wiki/%D0%9E%D0%A0%D0%90%D0%9D%D0%AD%D0%9B">ОРАНЭЛ</a>	map_marker.png	16,16	-8,-8
